Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerid
Jorge Polanco,MIN,152,588,644,158,88,35,2,33,97,98,45,0,118,5,6,0,4,11,6,.269,13152
DJ LeMahieu,NYY,150,597,679,160,125,24,1,10,84,57,73,2,94,4,5,0,16,4,2,.268,9874
Pavin Smith,ARI,145,498,545,133,91,27,4,11,68,49,42,1,106,4,1,0,11,1,0,.267,19892
Jake Cronenworth,SDP,152,567,643,151,90,33,7,21,94,71,55,6,90,10,3,3,8,4,3,.266,18036
Jose Ramirez,CLE,152,552,636,147,74,32,5,36,111,103,72,10,87,7,5,0,13,27,4,.266,13510
Dylan Carlson,STL,149,542,619,144,91,31,4,18,79,65,57,2,152,11,8,1,5,2,1,.266,20126
Joey Votto,CIN,129,448,533,119,59,23,1,36,73,99,77,6,127,4,4,0,7,1,0,.266,4314
Marcus Semien,TOR,162,652,724,173,87,39,2,45,115,102,66,0,146,3,3,0,9,15,1,.265,12533
Nelson Cruz,- - -,140,513,584,136,82,21,1,32,79,86,51,10,126,7,9,0,14,3,0,.265,2434
Kris Bryant,- - -,144,513,586,136,77,32,2,25,86,73,62,4,135,9,2,0,9,10,2,.265,15429
Javier Baez,- - -,138,502,547,133,82,18,2,31,80,87,28,2,184,13,3,0,12,18,5,.265,12979
Miguel Rojas,MIA,132,495,539,131,89,30,3,9,66,48,37,0,74,5,1,1,10,13,3,.265,7802
Josh Rojas,ARI,139,484,550,128,82,32,3,11,69,44,58,1,137,0,3,1,7,9,4,.264,19734
Mookie Betts,LAD,122,466,550,123,68,29,3,23,93,58,68,2,86,11,5,0,5,10,5,.264,13611
Nathaniel Lowe,TEX,157,557,642,147,102,24,3,18,75,72,80,2,162,2,3,0,13,8,0,.264,19566
Yoan Moncada,CHW,144,520,616,137,89,33,1,14,74,61,84,1,157,10,2,0,6,3,2,.263,17232
Kyle Farmer,CIN,147,483,529,127,87,22,2,16,60,63,22,1,97,18,5,1,16,2,3,.263,14813
J.T. Realmuto,PHI,134,476,537,125,79,25,4,17,64,73,48,5,129,11,2,0,8,13,3,.263,11739
Avisail Garcia,MIL,135,461,515,121,74,18,0,29,68,86,38,5,121,11,5,0,12,8,4,.262,5760
Tommy Edman,STL,159,641,691,168,113,41,3,11,91,56,38,1,95,6,4,2,4,30,5,.262,19470
Pete Alonso,NYM,152,561,637,147,80,27,3,37,81,94,60,6,127,12,4,0,20,3,0,.262,19251
David Fletcher,LAA,157,626,665,164,132,27,3,2,74,47,31,1,60,1,1,6,10,15,3,.262,17992
Willy Adames,- - -,140,497,555,130,72,32,1,25,77,73,57,1,156,0,1,0,9,5,4,.262,15986
Jose Abreu,CHW,152,566,659,148,86,30,2,30,86,117,61,3,143,22,10,0,28,1,0,.261,15676
Josh Bell,WSN,144,498,568,130,78,24,1,27,75,88,65,2,101,2,3,0,22,0,0,.261,13145
Jesus Aguilar,MIA,131,449,510,117,72,23,0,22,49,93,46,4,93,3,7,0,11,0,0,.261,11342
Gleyber Torres,NYY,127,459,516,119,88,22,0,9,50,51,50,1,104,1,4,2,12,14,6,.259,16997
Ozzie Albies,ATL,156,629,686,163,86,40,7,30,103,106,47,2,128,3,7,0,4,20,4,.259,16556
Hunter Renfroe,BOS,144,521,572,135,71,33,0,31,89,96,44,0,130,1,6,0,6,1,2,.259,15464
David Peralta,ARI,150,487,538,126,80,30,8,8,57,63,46,3,92,3,2,0,9,2,1,.259,2136
Shohei Ohtani,LAA,158,537,639,138,58,26,8,46,103,100,96,20,189,4,2,0,7,26,10,.257,19755
Miguel Cabrera,DET,130,472,526,121,90,16,0,15,48,75,40,0,118,5,9,0,21,0,0,.256,1744
Austin Hays,BAL,131,488,529,125,73,26,4,22,73,71,28,0,107,9,1,3,9,4,3,.256,19363
Yandy Diaz,TBR,134,465,541,119,85,20,1,13,62,64,69,4,85,3,4,0,11,1,1,.256,16578
Trey Mancini,BAL,147,556,616,142,87,33,1,21,77,71,51,4,143,8,1,0,19,0,0,.255,15149
Ryan Mountcastle,BAL,144,534,586,136,79,23,1,33,77,89,41,2,161,4,7,0,12,4,3,.255,18373
Nolan Arenado,STL,157,593,653,151,80,34,3,34,81,105,50,8,96,3,7,0,20,2,0,.255,9777
Chris Taylor,LAD,148,507,582,129,80,25,4,20,92,73,63,2,167,8,3,1,5,13,1,.254,13757
Ryan McMahon,COL,151,528,596,134,78,32,1,23,80,86,59,2,147,4,5,0,14,6,2,.254,15112
Mitch Haniger,SEA,157,620,691,157,93,23,2,39,110,100,54,2,169,9,8,0,12,1,0,.253,14274
Eduardo Escobar,- - -,146,549,599,139,80,26,5,28,77,90,48,1,124,1,1,0,3,1,0,.253,6153
Trevor Story,COL,142,526,595,132,69,34,5,24,88,75,53,2,139,11,5,0,7,20,6,.251,12564
Enrique Hernandez,BOS,134,508,585,127,69,35,3,20,84,60,61,0,110,9,7,0,4,1,0,.250,10472
Max Muncy,LAD,144,497,592,124,60,26,2,36,95,94,83,5,120,11,1,0,7,2,1,.249,13301
Luis Urias,MIL,150,490,570,122,73,25,1,23,77,75,63,3,116,10,3,1,9,5,1,.249,16622
Jonathan Villar,NYM,142,454,505,113,75,18,2,18,63,42,46,2,132,3,0,2,6,14,7,.249,10071
Dansby Swanson,ATL,160,588,653,146,84,33,2,27,78,88,52,4,167,5,7,1,7,9,3,.248,18314
Anthony Rizzo,- - -,141,496,576,123,75,23,3,22,73,61,52,2,87,23,5,0,15,6,2,.248,3473
Jazz Chisholm Jr.,MIA,124,464,507,115,73,20,4,18,70,53,34,0,145,4,3,2,3,23,8,.248,20454
Josh Donaldson,MIN,135,457,543,113,61,26,0,26,73,72,74,2,114,4,8,0,22,0,0,.247,5038
Brandon Lowe,TBR,149,535,615,132,62,31,0,39,97,99,68,4,167,9,3,0,2,7,1,.247,18882
Jed Lowrie,OAK,139,457,512,112,70,28,0,14,55,69,49,1,108,2,4,0,8,0,0,.245,4418
Michael A. Taylor,KCR,142,483,528,118,89,16,1,12,58,54,33,0,144,5,5,2,9,14,7,.244,11489
Elvis Andrus,OAK,146,497,541,121,91,25,2,3,60,37,31,2,81,6,4,3,14,12,2,.243,8709
Adolis Garcia,TEX,149,581,622,141,82,26,2,31,77,90,32,0,194,5,4,0,15,16,5,.243,19287
